t_s,dt_s,soc_pct,voltage_mV,temperature_C,temperature_cpu_C,brightness,display_state,power_total_mW,power_cpu_mW,power_screen_mW,charge_counter_uAh,scenario,run_id,run_name,is_gps_on,brightness_norm
388.0,4.0,57,3947,28.8,35.145,30,ON,1805.247,112.62225,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
392.0,3.0,57,3947,28.8,36.015,30,ON,1847.57,153.374,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
395.0,4.0,57,3947,28.8,37.061,30,ON,1929.139,116.12925,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
399.0,3.0,57,3947,28.8,35.675,30,ON,1957.14,158.11133333333333,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
402.0,4.0,57,3947,28.9,35.854,30,ON,2102.192,117.9485,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
406.0,4.0,57,3947,28.9,35.465,30,ON,2091.824,115.50875,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
410.0,3.0,57,3947,28.9,37.128,30,ON,1765.4679999999998,148.15433333333334,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
413.0,4.0,57,3947,28.9,38.119,30,ON,1984.145,112.234,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
417.0,3.0,57,3947,28.9,35.442,30,ON,1667.592,156.19766666666666,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
420.0,4.0,57,3947,28.9,35.838,30,ON,1698.624,113.9765,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
424.0,3.0,57,3947,28.9,36.336,30,ON,1753.6719999999998,156.64333333333335,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
427.0,4.0,57,3947,28.9,35.393,30,ON,1941.42,112.642,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
431.0,3.0,57,3947,28.9,35.1,30,ON,1909.494,152.84,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
434.0,4.0,57,3947,28.9,34.952,30,ON,1877.584,115.5265,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
438.0,4.0,57,3947,28.9,37.873,30,ON,1745.364,123.12275,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
442.0,3.0,57,3947,28.9,37.441,30,ON,1784.22,155.03366666666668,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
445.0,4.0,57,3947,28.9,36.327,30,ON,2263.104,117.42675,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
449.0,3.0,57,3947,28.9,36.052,30,ON,1682.468,151.21633333333332,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
452.0,4.0,57,3947,28.9,36.128,30,ON,1806.88,113.9855,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
456.0,4.0,57,3947,28.9,36.668,30,ON,1765.019,119.5255,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
460.0,3.0,57,3947,28.9,37.931,30,ON,1561.004,154.251,558.726,2743000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
463.0,4.0,56,3929,28.9,36.294,30,ON,1685.5410000000002,119.38525,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
467.0,3.0,56,3929,28.9,38.335,30,ON,2918.165,157.686,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
470.0,4.0,56,3929,28.9,37.57,30,ON,1791.6239999999998,111.299,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
474.0,3.0,56,3929,28.9,38.511,30,ON,1904.11,167.37866666666667,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
477.0,4.0,56,3929,28.9,37.023,30,ON,1814.274,114.19475,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
481.0,4.0,56,3929,28.9,36.313,30,ON,1771.979,120.94625,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
485.0,3.0,56,3929,28.9,38.817,30,ON,1791.6239999999998,151.90133333333333,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
488.0,4.0,56,3929,28.9,38.003,30,ON,1736.6180000000002,112.1215,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
492.0,3.0,56,3929,28.9,58.455,30,ON,1775.908,165.40766666666667,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
495.0,4.0,56,3929,28.9,37.671,30,ON,1994.408,113.667,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
499.0,4.0,56,3929,28.9,35.661,30,ON,1747.96,113.432,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
503.0,3.0,56,3929,28.9,37.7,30,ON,1786.33,157.43833333333333,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
506.0,4.0,56,3929,28.9,46.778,30,ON,2094.348,116.2595,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
510.0,3.0,56,3929,28.9,40.861,30,ON,1610.89,142.22933333333333,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
513.0,4.0,56,3929,28.9,36.068,30,ON,1888.887,118.2925,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
517.0,3.0,56,3929,28.9,36.826,30,ON,1630.9499999999998,153.93633333333335,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
520.0,4.0,56,3929,28.9,36.512,30,ON,1654.1090000000002,112.74925,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
524.0,3.0,56,3929,28.9,36.111,30,ON,1628.5800180167337,151.88433333333333,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
527.0,4.0,56,3929,28.9,37.226,30,ON,1767.7432955672698,112.383,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
531.0,4.0,56,3929,28.9,35.252,30,ON,1668.4788213333145,116.16275,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
535.0,3.0,56,3929,28.9,35.831,30,ON,1754.2096702384715,156.56533333333334,556.178,2698000,S2_b30,20260201_182511,20260201_182508_S2_b30,0,0.11764705882352941
